Channel Name,Call Letters / Feed,Flagship,Type,Group,Region,Country,Network / Parent Company,Channel #,Timezone,Genre Focus,Shows You Might Like,Popular Shows / Notes,Streaming Alternative,Streaming Status,Feed Variant,Language,Availability,Notes / Annotations,matched_provider_name,matched_provider_norm,provider_xmltv_id,provider_site,provider_tag,provider_source_file,match_score,simple_ratio,token_set_ratio,match_method,confidence,alt1_name,alt1_score,alt2_name,alt2_score,base_key
Investigation Discovery,ID HD,Yes,Specialty,US-Specialty,National,US,Warner Bros. Discovery,,Eastern,True crime; mystery,Disappeared; On the Case,Flagship ID feed,Discovery+,Subscription,HD,English,IPTV only,,Discovery,discovery,DiscoveryChannel.us@East,directv.com,directv.com,directv.com.channels.xml,100,56,100,token_set,high,Discovery HD,100,Investigation Discovery,100,investigation discovery
Nat Geo Wild,NatGeo Wild HD,No,Specialty,US-Specialty,National,US,Disney,,Eastern,Wildlife; nature,World�??s Deadliest; Animal Fight Night,Animal-focused NatGeo feed,NatGeoTV.com,Subscription,HD,English,IPTV only,,Nat Geo WILD,nat geo wild,NationalGeographicWild.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,Nat Geo Wild HD,100,Wild West TV,100,nat geo wild
National Geographic,NatGeo HD,Yes,Specialty,US-Specialty,National,US,Disney,,Eastern,Nature; science,Drain the Oceans; Genius,Flagship NatGeo feed,NatGeoTV.com,Subscription,HD,English,IPTV only,,National Geographic,national geographic,NationalGeographic.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,National Geographic HD,100,National Geographic Mundo,100,national geographic
PBS East,WNET-DT,Yes,Public,US-Local,Eastern US,US,PBS,13.1,Eastern,Docs; arts; kids,Frontline; PBS NewsHour,Flagship PBS feed,PBS.org,Free-to-air,HD,English,Free-to-air,,A3 Parkersburg 65 PBS (Virt),a3 parkersburg 65 pbs virt,W51EGD1.us@SD,directv.com,directv.com,directv.com.channels.xml,100,20,100,token_set,high,PBS Kids,100,"Alabama Public TV - PBS (WAIQ) Montgomery, AL",100,pbs
Paramount Network,Paramount HD,Yes,Specialty,US-Specialty,National,US,Paramount Global,,Eastern,Drama; action,Yellowstone; Mayor of Kingstown,Flagship Paramount feed,ParamountNetwork.com,Subscription,HD,English,IPTV only,,Paramount Network,paramount network,ParamountNetwork.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,Paramount Network HD,100,Paramount Network USA - Eastern Feed,100,paramount network
Showtime East,Showtime East HD,Yes,Premium,US-Specialty,Eastern US,US,Paramount Global,,Eastern,Drama; thriller,Yellowjackets; Dexter,Flagship Showtime feed,Showtime.com,Subscription,HD,English,IPTV only,,Showtime (E),showtime e,Showtime.us@East,directv.com,directv.com,directv.com.channels.xml,100,88,100,token_set,high,Showtime (W),100,SHOWTIME 2,100,showtime
Smithsonian Channel,Smithsonian HD,No,Specialty,US-Specialty,National,US,Paramount Global,,Eastern,History; science; culture,Aerial America; Secrets Unlocked,Documentary and cultural programming,SmithsonianChannel.com,Subscription,HD,English,IPTV only,,Smithsonian Channel HD,smithsonian,SmithsonianChannel.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,Smithsonian Channel USA HD,100,Smithsonian Channel Pluto TV,100,smithsonian
Starz Cinema,Starz Cinema HD,No,Premium,US-Specialty,National,US,Lionsgate,,Eastern,Indie; foreign films,The Farewell; Amour,Art-house and international content,Starz.com,Subscription,HD,English,IPTV only,,STARZ Cinema HD,starz cinema,StarzCinema.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,STARZ East,100,STARZ East HD,100,starz cinema
Starz Comedy,Starz Comedy HD,No,Premium,US-Specialty,National,US,Lionsgate,,Eastern,Comedy; sitcoms,The Big Sick; Superbad,Comedy-focused Starz feed,Starz.com,Subscription,HD,English,IPTV only,,Comedy Central,comedy,ComedyCentral.us@East,directv.com,directv.com,directv.com.channels.xml,100,66,100,token_set,high,Comedy Central HD,100,Comedy Central West HD,100,starz comedy
Starz Edge,Starz Edge HD,No,Premium,US-Specialty,National,US,Lionsgate,,Eastern,Action; edgy drama,Power Book II; Heels,Youth-oriented Starz feed,Starz.com,Subscription,HD,English,IPTV only,,STARZ East,starz,Starz.us@East,directv.com,directv.com,directv.com.channels.xml,100,66,100,token_set,high,STARZ East HD,100,STARZ Edge,100,starz edge
Syfy,Syfy HD,Yes,Specialty,US-Specialty,National,US,NBCUniversal,,Eastern,Sci-fi; fantasy,Resident Alien; The Ark,Science fiction and genre,Syfy.com,Subscription,HD,English,IPTV only,,SYFY,syfy,Syfy.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,Syfy - Eastern Feed,100,SYFY,100,syfy
TBS,TBS HD,Yes,Specialty,US-Specialty,National,US,Warner Bros. Discovery,,Eastern,Comedy; variety,Miracle Workers; American Dad,Comedy and syndicated content,TBS.com,Subscription,HD,English,IPTV only,,TBS,tbs,TBS.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,TBS HD,100,TBS West HD,100,tbs
TNT,TNT HD,Yes,Specialty,US-Specialty,National,US,Warner Bros. Discovery,,Eastern,Drama; action,Snowpiercer; Leverage: Redemption,Drama and sports,WatchTNT.com,Subscription,HD,English,IPTV only,,TNT,tnt,TNT.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,TNT HD,100,TNT West HD,100,tnt
USA Network,USA HD,Yes,Specialty,US-Specialty,National,US,NBCUniversal,,Eastern,Drama; reality,Chucky; Temptation Island,Flagship USA feed,USANetwork.com,Subscription,HD,English,IPTV only,,USA Network,usa network,USANetwork.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,USA Network HD,100,Cartoon Network USA - Eastern Feed,100,usa network
