Channel Name,Call Letters / Feed,Flagship,Type,Group,Region,Country,Network / Parent Company,Channel #,Timezone,Genre Focus,Shows You Might Like,Popular Shows / Notes,Streaming Alternative,Streaming Status,Feed Variant,Language,Availability,Notes / Annotations,matched_provider_name,matched_provider_norm,provider_xmltv_id,provider_site,provider_tag,provider_source_file,match_score,simple_ratio,token_set_ratio,match_method,confidence,alt1_name,alt1_score,alt2_name,alt2_score
Crave 2,Crave 2,No,Premium,CA-Specialty,National,CA,Bell Media,,Eastern,Starz; action,Outlander; Power,Starz content via Crave,Crave.ca,Subscription,HD,English,IPTV only,,Crave Movies and HBO on Demand,crave movies and hbo on demand,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,83,32,83,token_set,medium,Dream 2,57,Prise 2,57
Crave 3,Crave 3,No,Premium,CA-Specialty,National,CA,Bell Media,,Eastern,Comedy; satire,Letterkenny; Curb Your Enthusiasm,Comedy-focused Crave feed,Crave.ca,Subscription,HD,English,IPTV only,,Crave Movies and HBO on Demand,crave movies and hbo on demand,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,83,32,83,token_set,medium,,,,
Crave 4,Crave 4,No,Premium,CA-Specialty,National,CA,Bell Media,,Eastern,Docs; indie,VICE Docs; Canada�??s Drag Race,Documentary and indie content,Crave.ca,Subscription,HD,English,IPTV only,,Crave Movies and HBO on Demand,crave movies and hbo on demand,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,83,32,83,token_set,medium,,,,
CTV Comedy Channel,CTV Comedy,No,Specialty,CA-Specialty,National,CA,Bell Media,625,Eastern,Comedy; satire,Corner Gas; The Daily Show,CTV specialty comedy feed,CTV.ca,Subscription,HD,English,IPTV only,,CTV Comedy - East,ctv comedy,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,CTV Comedy - East HD,100,CTV Comedy - West,100
CTV Drama Channel,CTV Drama,No,Specialty,CA-Specialty,National,CA,Bell Media,620,Eastern,Drama; mystery,The Good Fight; Grey�??s Anatomy,CTV specialty drama feed,CTV.ca,Subscription,HD,English,IPTV only,,CTV Drama,ctv drama,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,CTV Drama HD,100,Melody Drama,71
CTV Kitchener,CKCO-DT,Yes,Commercial,CA-Local,Southern Ontario,CA,Bell Media,13.1,Eastern,Regional news,CTV News Kitchener,CTV regional feed,CTV.ca,Free-to-air,HD,English,Free-to-air,,"CTV (CKCO) Kitchener, ON",ctv ckco kitchener on,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,76,100,token_set,high,Rogers Kitchener,81,CTV Life,57
CTV London,CFPL-DT,Yes,Commercial,CA-Local,Southern Ontario,CA,Bell Media,10.1,Eastern,Regional drama,CTV London News,CTV regional feed,CTV.ca,Free-to-air,HD,English,Free-to-air,,CTV Two London/CFPL (CTV2L),ctv two london cfpl ctv2l,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,57,100,token_set,high,CTV Wild,66,CTV Comedy - East,60
CTV Ottawa,CJOH-DT,Yes,Commercial,CA-Local,Eastern Canada,CA,Bell Media,13.1,Eastern,News; drama,CTV Ottawa News,Eastern flagship CTV feed,CTV.ca,Free-to-air,HD,English,Free-to-air,,CJOH CTV Ottawa HDTV (CJOH),cjoh ctv ottawa hdtv cjoh,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,57,100,token_set,high,CTV Two Ottawa/CHRO (CTV2O),100,CPAC Ottawa,76
CTV Sci-Fi Channel,CTV Sci-Fi,No,Specialty,CA-Specialty,National,CA,Bell Media,627,Eastern,Sci-fi; supernatural,SurrealEstate; The Ark,CTV specialty sci-fi feed,CTV.ca,Subscription,HD,English,IPTV only,,CTV Sci-Fi,ctv sci fi,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,CTV Sci-Fi HD,100,CTV Life,66
CTV Toronto,CFTO-DT,Yes,Commercial,CA-Local,Southern Ontario,CA,Bell Media,9.1,Eastern,Drama; comedy,Transplant; The Spencer Sisters,Flagship CTV feed,CTV.ca,Free-to-air,HD,English,Free-to-air,,"CTV (CFTO) Toronto, ON",ctv cfto toronto on,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,73,100,token_set,high,"CTV (CFTO) Toronto, ON HD",100,"CTV2 Toronto, ON",84
CTV Vancouver,CIVT-DT,Yes,Commercial,CA-Local,Western Canada,CA,Bell Media,32.1,Pacific,Drama; news,CTV Vancouver News,Western flagship CTV feed,CTV.ca,Free-to-air,HD,English,Free-to-air,,"CTV Vancouver, BC",ctv vancouver bc,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,89,100,token_set,high,"CTV Vancouver, BC HD",100,"CBC (CBUT) Vancouver, BC",81
CTV Windsor,CICO-DT-32,No,Public,CA-Local,Southern Ontario,CA,Bell Media,32.1,Eastern,Docs; education,TVO Windsor,TVO regional feed,TVO.org,Free-to-air,HD,English,Free-to-air,,CBET Windsor (CBET),cbet windsor cbet,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,86,71,86,token_set,medium,CTV2 Windsor (CHWI-DT),77,CTV Wild,73
CTV2 Barrie,CKVR-DT,No,Commercial,CA-Local,Southern Ontario,CA,Bell Media,10.1,Eastern,Regional drama,CTV2 News; syndicated content,CTV regional feed,CTV.ca,Free-to-air,HD,English,Free-to-air,,CTV2 Barrie (CKVR-DT),ctv2 barrie ckvr dt,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,73,100,token_set,high,CTV2 Atlantic Region,63,"CTV2 Toronto, ON",53
Documentary Channel,Documentary,No,Specialty,CA-Specialty,National,CA,CBC,,Eastern,Docs; real stories,The Nature of Things; The Fifth Estate,CBC documentary feed,CBC Gem,Subscription,HD,English,IPTV only,,Documentary,documentary,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Documentary Channel (Canada),100,Documentary Channel (Canada) HD,100
FX Canada,FX,No,Specialty,CA-Specialty,National,CA,Rogers Media,,Eastern,Drama; edgy comedy,Fargo; The Bear,FX flagship feed in Canada,FXNow.ca,Subscription,HD,English,IPTV only,,FX Networks Canada,fx networks canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,66,100,token_set,high,FX Networks Canada HD,100,FXX Canada,94
Global BC,CHAN-DT,Yes,Commercial,CA-Local,Western Canada,CA,Corus Entertainment,8.1,Pacific,News; reality,Global BC News; ET Canada,Western flagship Global feed,Global TV,Free-to-air,HD,English,Free-to-air,,Global BC,global bc,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Global BC HD,100,"Global (CHEX-TV-2) Durham, ON",80
Global Kingston,CKWS-DT,Yes,Commercial,CA-Local,Southern Ontario,CA,Corus Entertainment,11.1,Eastern,Regional news,CKWS Newswatch,CTV regional feed,Global TV,Free-to-air,HD,English,Free-to-air,,Global BC,global bc,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,80,58,80,token_set,medium,Global BC HD,80,Global Edmonton (CITV),62
Global Ottawa,CIII-DT-6,No,Commercial,CA-Local,Eastern Canada,CA,Corus Entertainment,6.1,Eastern,Regional news,Global News Ottawa,CTV regional feed,Global TV,Free-to-air,HD,English,Free-to-air,,Global BC,global bc,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,80,63,80,token_set,medium,Global BC HD,80,CPAC Ottawa,70
Global Toronto,CIII-DT,Yes,Commercial,CA-Local,Southern Ontario,CA,Corus Entertainment,41.1,Eastern,Procedural; reality,Private Eyes; Big Brother Canada,Flagship Global feed,Global TV,Free-to-air,HD,English,Free-to-air,,Global (CIII-DT-41) Toronto,global ciii dt 41 toronto,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,71,100,token_set,high,Global (CIII-DT-41) Toronto HD,100,Global BC,80
HBO Canada,HBO,Yes,Premium,CA-Specialty,National,CA,Bell Media,,Eastern,Prestige drama,Succession; Game of Thrones,HBO via Crave,Crave.ca,Subscription,HD,English,IPTV only,,HBO Canada East On Demand,hbo canada on demand,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,66,100,token_set,high,E! Canada,85,E! Canada HD,85
HBO Canada East,HBO East,Yes,Premium,CA-Specialty,Eastern Canada,CA,Bell Media,,Eastern,,,,,,,,,,HBO Canada East On Demand,hbo canada on demand,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,66,100,token_set,high,E! Canada,85,E! Canada HD,85
Adult Swim,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Animation; satire,Rick and Morty; Aqua Teen Hunger Force,Adult animation block,StackTV,Subscription,HD,English,IPTV only,,Adult Swim - East,adult swim,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Adult Swim - East HD,100,Adult Value On Demand 4,66
AMC Canada,AMC,No,Specialty,CA-Specialty,National,CA,AMC Networks,,Eastern,Thriller; horror,The Walking Dead; Dark Winds,Flagship AMC feed in Canada,AMC+,Subscription,HD,English,IPTV only,,AMC - Canada,amc canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,AMC - Canada HD,100,E! Canada,85
BBC Canada,BBC Canada,No,Specialty,CA-Specialty,National,CA,BBC Studios,,Eastern,British drama; docs,Top Gear; Luther; Sherlock,Discontinued in 2020,BritBox,Geo-restricted,HD,English,Discontinued,,BBC Arabic Canada,bbc arabic canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,74,100,token_set,high,BBC Canada East,100,CNBC Canada,85
BBC First,,,Specialty,CA-Specialty,National,CA,BBC Studios,,Eastern,British drama; mystery,Death in Paradise; Call the Midwife,Premium BBC content,Corus On Demand,Subscription,HD,English,IPTV only,,BBC First HD,bbc first,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Baby First TV,84,BBC Earth HD,66
Bravo,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Reality; lifestyle,Real Housewives; Top Chef,Canadian feed of Bravo US,StackTV,Subscription,HD,English,IPTV only,,Bravo,bravo,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Bravo Canada,100,Bravo Canada HD,100
CBC Vancouver,CBUT-DT,Yes,Public,CA-Local,Western Canada,CA,CBC,2.1,Pacific,News; docs,The National; Nature of Things,Western flagship CBC feed,CBC Gem,Free-to-air,HD,English,Free-to-air,,"CBC (CBUT) Vancouver, BC",cbc cbut vancouver bc,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,76,100,token_set,high,"CBC (CBUT) Vancouver, BC HD",100,CBC Television,100
Cottage Life,,,Specialty,CA-Specialty,National,CA,Blue Ant Media,,Eastern,Outdoors; lifestyle,Colin & Justin�??s Cabin Pressure; Lakefront Luxury,Cottage and rural living,Amazon Prime Channels,Subscription,HD,English,IPTV only,,Cottage Life,cottage life,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Cottage Life HD,100,CTV Life,70
Crime & Investigation,,,Specialty,CA-Specialty,National,CA,A&E Networks,,Eastern,True crime; mystery,Cold Case Files; The First 48,Canadian feed of CI US,StackTV,Subscription,HD,English,IPTV only,,Crime + Investigation Canada,crime + investigation canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,90,78,90,token_set,high,Investigation ID CA,81,Stingray: Christian Pop and Rock,51
CTV Life Channel,,,Specialty,CA-Specialty,National,CA,Bell Media,,Eastern,Lifestyle; food; travel,Jamie�??s Easy Meals; Mary�??s Kitchen Crush,Food and lifestyle programming,CTV.ca,Subscription,HD,English,IPTV only,,CTV Life,ctv life,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,CTV Life HD,100,Cottage Life,70
CTV Nature Channel,,,Specialty,CA-Specialty,National,CA,Bell Media,,Eastern,Nature; wildlife,Wild Canada; Planet Earth,Documentary-style nature content,CTV.ca,Subscription,HD,English,IPTV only,,CTV Nature,ctv nature,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Love Nature,76,Stingray: Nature,75
CTV Speed Channel,,,Specialty,CA-Specialty,National,CA,Bell Media,,Eastern,Motorsports; racing,NASCAR; Formula E,Auto and racing content,CTV.ca,Subscription,HD,English,IPTV only,,CTV Speed,ctv speed,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,CTV Comedy - East,63,CTV Comedy - East HD,63
CTV Wild Channel,,,Specialty,CA-Specialty,National,CA,Bell Media,,Eastern,Wildlife; adventure,Wild Things; Into the Wild,Outdoor and nature adventure,CTV.ca,Subscription,HD,English,IPTV only,,CTV Wild,ctv wild,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Wild TV,100,Wild TV HD,100
DejaView,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Classic TV; sitcoms,Cheers; Frasier; M*A*S*H,Retro television programming,StackTV,Subscription,HD,English,IPTV only,,DejaView,dejaview,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,,,,
Discovery Channel,,,Specialty,CA-Specialty,National,CA,Bell Media,,Eastern,Science; exploration,MythBusters; Deadliest Catch,Canadian feed of Discovery US,Discovery.ca,Subscription,HD,English,IPTV only,,Discovery Channel CA,discovery ca,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,85,100,token_set,high,,,,
Disney Channel,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Kids; family,Big City Greens; Bluey,Canadian feed of Disney US,StackTV,Subscription,HD,English,IPTV only,,Disney Channel Canada - East,disney canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,63,100,token_set,high,Disney Channel Canada On Demand,100,Disney Junior Canada,100
E!,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Celebs; pop culture,E! News; Botched,Canadian feed of E! US,StackTV,Subscription,HD,English,IPTV only,,A and E Canada,a and e canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,13,100,token_set,high,A and E Canada HD,100,E! Canada,100
Flavour Network,,,Specialty,CA-Specialty,National,CA,Blue Ant Media,,Eastern,Food; travel; culture,Flavour Trip; The Global Table,Canadian culinary and travel content,Amazon Prime Channels,Subscription,HD,English,IPTV only,,Flavour Network Canada,flavour network canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,81,100,token_set,high,NFL Network,77,NFL Network HD,77
Food Network,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Cooking; lifestyle,Top Chef Canada; Chopped,Canadian feed of Food Network US,StackTV,Subscription,HD,English,IPTV only,,Food Network CA,food network ca,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,88,100,token_set,high,NFL Network,78,NFL Network HD,78
FXX,,,Specialty,CA-Specialty,National,CA,Rogers Media,,Eastern,Comedy; animation,Archer; It�??s Always Sunny in Philadelphia,Youth and animation-focused FX feed,FXNow.ca,Subscription,HD,English,IPTV only,,FXX Canada,fxx canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,46,100,token_set,high,FXX Canada HD,100,,
HBO Canada East,HBO East,Yes,Premium,CA-Specialty,Eastern Canada,CA,Bell Media,,Eastern,Prestige drama,Game of Thrones; True Detective,Eastern HBO feed via Crave,Crave.ca,Subscription,HD,English,IPTV only,,HBO Canada East On Demand,hbo canada on demand,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,66,100,token_set,high,E! Canada,85,E! Canada HD,85
HBO Canada West,HBO West,Yes,Premium,CA-Specialty,Western Canada,CA,Bell Media,,Pacific,Prestige drama,The White Lotus; Euphoria,Western HBO feed via Crave,Crave.ca,Subscription,HD,English,IPTV only,,HBO Canada East On Demand,hbo canada on demand,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,66,100,token_set,high,E! Canada,85,E! Canada HD,85
HGTV,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Home; design; renovation,Fixer Upper; Property Brothers,Canadian feed of HGTV US,StackTV,Subscription,HD,English,IPTV only,,HGTV CA,hgtv ca,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,72,100,token_set,high,HGTV Canada On Demand,100,,
History,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Docs; historical drama,Vikings; The UnXplained,Canadian feed of History US,StackTV,Subscription,HD,English,IPTV only,,History 2 Canada,history 2 canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,60,100,token_set,high,History Canada East,100,History Canada HD East,100
Hollywood Suite 00s,HS 00s,No,Specialty,CA-Specialty,National,CA,Hollywood Suite,,Eastern,2000s films,The Departed; Memento,Decade-based movie feed,HollywoodSuite.ca,Subscription,HD,English,IPTV only,,Hollywood Suite 2000s Movies,hollywood suite 2000s movies,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,88,80,88,token_set,medium,Hollywood Suite 2010s+ Movies,88,Hollywood Suite 70s+ Movies,88
Hollywood Suite 70s,HS 70s,No,Specialty,CA-Specialty,National,CA,Hollywood Suite,,Eastern,1970s films,The French Connection; Rocky,Decade-based movie feed,HollywoodSuite.ca,Subscription,HD,English,IPTV only,,Hollywood Suite 2000s Movies,hollywood suite 2000s movies,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,88,76,88,token_set,medium,Hollywood Suite 2010s+ Movies,88,Hollywood Suite 70s+ Movies,88
Hollywood Suite 80s,HS 80s,No,Specialty,CA-Specialty,National,CA,Hollywood Suite,,Eastern,1980s films,Aliens; The Breakfast Club,Decade-based movie feed,HollywoodSuite.ca,Subscription,HD,English,IPTV only,,Hollywood Suite 80s and 90s Movies,hollywood suite 80s and 90s movies,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,71,100,token_set,high,Hollywood Suite 2000s Movies,88,Hollywood Suite 2010s+ Movies,88
Hollywood Suite 90s,HS 90s,No,Specialty,CA-Specialty,National,CA,Hollywood Suite,,Eastern,1990s films,Pulp Fiction; Fight Club,Decade-based movie feed,HollywoodSuite.ca,Subscription,HD,English,IPTV only,,Hollywood Suite 80s and 90s Movies,hollywood suite 80s and 90s movies,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,71,100,token_set,high,Hollywood Suite 2000s Movies,88,Hollywood Suite 2010s+ Movies,88
Investigation Discovery,,,Specialty,CA-Specialty,National,CA,Warner Bros. Discovery,,Eastern,True crime; mystery,Disappeared; On the Case,Canadian feed of ID US,Discovery+,Subscription,HD,English,IPTV only,,Discovery Channel CA,discovery ca,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,85,51,85,token_set,medium,Investigation ID CA,81,Crime + Investigation Canada,72
Lifetime,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Drama; reality,Married at First Sight; Dance Moms,Canadian feed of Lifetime US,StackTV,Subscription,HD,English,IPTV only,,Lifetime TV - Canada,lifetime canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,69,100,token_set,high,,,,
MovieTime,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Movies; thrillers,The Equalizer; The Accountant,Canadian movie channel,StackTV,Subscription,HD,English,IPTV only,,MovieTime,movietime,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,MovieTime HD,100,,
Much,,,Specialty,CA-Specialty,National,CA,Bell Media,,Eastern,Music; youth culture,MuchMusic Video Awards; The Wedge,Youth-oriented music and pop culture,Bell Fibe TV,Subscription,HD,English,IPTV only,,Much Music,much music,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,57,100,token_set,high,Much Music HD,100,Too Much! On Demand,100
Nat Geo Wild,,,Specialty,CA-Specialty,National,CA,Disney/Corus,,Eastern,Nature; wildlife,World�??s Deadliest; Animal Fight Night,Canadian feed of Nat Geo Wild US,StackTV,Subscription,HD,English,IPTV only,,GEO TV,geo,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,40,100,token_set,high,Wild TV,100,Wild TV HD,100
National Geographic,,,Specialty,CA-Specialty,National,CA,Disney/Corus,,Eastern,Science; exploration,Drain the Oceans; Genius,Canadian feed of NatGeo US,StackTV,Subscription,HD,English,IPTV only,,National Geographic Canada,national geographic canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,84,100,token_set,high,National Geographic Canada HD,100,National Geographic HD On Demand,100
OutTV,,,Specialty,CA-Specialty,National,CA,OutTV Media,,Eastern,LGBTQ+; drama,Canada�??s Drag Race; For the Love of DILFs,Canadian LGBTQ+ specialty channel,OutTVGo.ca,Subscription,HD,English,IPTV only,,OUTtv,outtv,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,OUTtv HD,100,,
Showcase,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Drama; thriller,The Sinner; Burden of Truth,Canadian drama and mystery feed,StackTV,Subscription,HD,English,IPTV only,,Showcase Canada,showcase canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,69,100,token_set,high,Showcase Canada HD,100,,
Silver Screen Classics,,,Specialty,CA-Specialty,National,CA,Channel Zero,,Eastern,Classic films; retro,The Big Sleep; Casablanca,Canadian classic movie channel,SilverScreenClassics.ca,Subscription,SD,English,IPTV only,,Silver Screen Classics,silver screen classics,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Stingray: Country Classics,63,,
Slice,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Lifestyle; reality,Big Brother Canada; Real Housewives,Canadian reality and lifestyle feed,StackTV,Subscription,HD,English,IPTV only,,Slice,slice,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,Slice HD,100,,
Smithsonian Channel,,,Specialty,CA-Specialty,National,CA,Blue Ant Media,,Eastern,Docs; history; science,Aerial America; Secrets Unlocked,Canadian feed of Smithsonian US,Amazon Prime Channels,Subscription,HD,English,IPTV only,,Smithsonian Channel Canada,smithsonian canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,75,100,token_set,high,,,,
Starz Canada 1,Starz 1,Yes,Premium,CA-Specialty,National,CA,Bell Media,,Eastern,Drama; action,Outlander; Power,Flagship Starz feed via Crave,Crave.ca,Subscription,HD,English,IPTV only,,E! Canada,e canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,85,63,85,token_set,medium,E! Canada HD,85,Daystar Canada,78
